IOL_2A,R,B1
IOL_2B,R,C1
GND,L,A9
VCCIO_3,L,E3
IOL_4A,R,C3
IOL_4B,R,D3
IOL_5A,R,D1
IOL_5B,R,E1
IOL_8A,R,D4
IOL_8B,R,E4
IOL_9A,R,F4
IOL_9B,R,F3
GND,L,F1
GND,L,F7
IOL_10A,R,H4
IOL_10B,R,G4
IOL_12A,R,J3
IOL_12B,R,J1
IOL_13A,R,G3
IOL_13B_GBIN7,R,G1
IOL_14A_GBIN6,R,H1
IOL_14B,R,H3
IOL_18A,R,K3
IOL_18B,R,K4
VCC,L,F8
IOL_23A,R,L1
IOL_23B,R,M1
VCCIO_3,L,J6
IOL_25A,R,N1
IOL_25B,R,P1
IOB_56,R,P2
IOB_59,R,P3
VCC,L,G6
IOB_63,R,M4
IOB_64,R,M3
IOB_71,R,L5
IOB_72,R,L4
IOB_73,R,P4
IOB_74,R,P5
IOB_77,R,M6
IOB_78,R,L6
VCCIO_2,L,J9
IOB_79,R,M7
IOB_81_GBIN5,R,P7
IOB_82_GBIN4,R,P8
GNDPLL0,L,L7
VCCPLL0,L,M8
IOB_87,R,L8
IOB_89,R,P9
IOB_91,R,M9
VCCIO_2,L,M5
GND,L,G7
IOB_103_CBSEL0,R,L9
IOB_104_CBSEL1,R,P10
CDONE,L,M10
CRESET_B,L,L10
IOB_105_SDO,R,M11
IOB_106_SDI,R,P11
GND,L,G8
IOB_107_SCK,R,P12
IOB_108_SS,R,P13
VCC_SPI,L,L11
IOR_109,R,M12
IOR_110,R,P14
IOR_111,R,L12
IOR_112,R,N14
NC,B,M14
IOR_114,R,L14
IOR_115,R,K12
IOR_116,R,K11
IOR_117,R,K14
IOR_118,R,J12
IOR_119,R,J11
IOR_120,R,H12
IOR_128,R,H11
IOR_129,R,G12
GND,L,G9
IOR_136,R,G11
IOR_137,R,F12
VCCIO_1,L,F9
VCC,L,H9
IOR_140_GBIN3,R,F14
IOR_141_GBIN2,R,G14
IOR_144,R,F11
IOR_146,R,E11
IOR_147,R,E12
IOR_148,R,E14
IOR_152,R,D14
IOR_154,R,C14
VCCIO_1,L,H14
IOR_160,R,D12
IOR_161,R,B14
GND,L,H6
VPP_2V5,L,A14
VPP_FAST,L,A13
VCC,L,J4
IOT_170,R,A12
IOT_172,R,C12
IOT_174,R,C11
IOT_177,R,D10
IOT_178,R,D11
IOT_179,R,A11
IOT_181,R,A10
IOT_186,R,C10
IOT_188,R,D9
IOT_190,R,C9
VCCIO_0,L,A8
VCCPLL1,L,C8
GNDPLL1,L,D8
IOT_197_GBIN1,R,A7
IOT_198_GBIN0,R,A6
IOT_200,R,C7
IOT_202,R,D7
IOT_206,R,C6
IOT_207,R,D6
IOT_208,R,A5
IOT_211,R,D5
VCCIO_0,L,F6
GND,L,H7
IOT_212,R,C5
GND,L,H8
IOT_219,R,A4
IOT_221,R,C4
IOT_222,R,A3
IOT_223,R,A2
IOT_225,R,A1
VCC,L,J7
GND,L,J14
GND,L,J8
GND,L,L3
GND,L,P6
VCCIO_3,L,K1
