DEF,iCE40-LP384-QN32
PIN,IOL_2A,L,2
PIN,IOL_2B,L,1
PIN,IOL_4A,L,5
PIN,IOL_4B_GBIN7,L,6
PIN,IOL_5A_GBIN6,L,8
PIN,IOL_5B,L,7
PIN,CDONE,R,11
PIN,CRESET_B,R,10
PIN,IOB_24_SDO,L,12
PIN,IOB_25_SDI,L,13
PIN,IOB_26_SCK,L,15
PIN,IOB_27_SS,L,14
PIN,VCC_SPI,R,16
PIN,IOR_34,L,18
PIN,IOR_35_GBIN3,L,19
PIN,IOR_36_GBIN2,L,20
PIN,IOR_38,L,22
PIN,IOR_39,L,23
PIN,VPP_2V5,R,24
PIN,IOT_45,L,26
PIN,IOT_47,L,27
PIN,IOT_49_GBIN0,L,29
PIN,IOT_50_GBIN1,L,30
PIN,IOT_52,L,32
PIN,IOT_53,L,31
PIN,GND,R,3
PIN,GND,R,21
PIN,VCC,R,25
PIN,VCCIO_0,R,28
PIN,VCCIO_1,R,17
PIN,VCCIO_2,R,9
PIN,VCCIO_3,R,4
