IOL_1A,R,C2
IOL_1B,R,B1
IOL_2A,R,E4
IOL_2B,R,D4
IOL_3A,R,E3
IOL_3B,R,C1
IOL_4A,R,E5
IOL_4B,R,D3
IOL_5A,R,E6
IOL_5B,R,D1
IOL_6A,R,D2
IOL_6B,R,E2
IOL_8A,R,F5
IOL_8B,R,F4
IOL_9A,R,F3
IOL_9B,R,F2
IOL_10A,R,G2
IOL_10B,R,F1
IOL_11A,R,G3
IOL_11B,R,G1
IOL_12A,R,G5
IOL_12B,R,H2
IOL_13A,R,H6
IOL_13B_GBIN7,R,G4
IOL_14A_GBIN6,R,H5
IOL_14B,R,H1
IOL_15A,R,H3
IOL_15B,R,J3
IOL_16A,R,H4
IOL_16B,R,J1
IOL_17A,R,J5
IOL_17B,R,J2
IOL_18A,R,J4
IOL_18B,R,K1
IOL_20A,R,K3
IOL_20B,R,L1
IOL_22A,R,L3
IOL_22B,R,M1
IOL_23A,R,K5
IOL_23B,R,M2
IOL_24A,R,N2
IOL_24B,R,M3
IOL_25A,R,P1
IOL_25B,R,K4
IOL_26A,R,M4
IOL_26B,R,L4
IOB_52,R,N3
IOB_53,R,P2
IOB_54,R,N4
IOB_55,R,R1
IOB_56,R,L5
IOB_57,R,R2
IOB_60,R,M5
IOB_61,R,R3
IOB_62,R,L6
IOB_63,R,P4
IOB_64,R,M6
IOB_65,R,R4
IOB_67,R,N5
IOB_69,R,P5
IOB_71,R,R5
IOB_72,R,L7
IOB_73,R,N6
IOB_75,R,M7
IOB_77,R,P6
IOB_78,R,M8
IOB_79,R,R6
IOB_81_GBIN5,R,N7
IOB_82_GBIN4,R,L9
IOB_83,R,P7
GNDPLL0,L,N8
VCCPLL0,L,L8
IOB_84,R,P8
IOB_85,R,M9
IOB_86,R,N9
IOB_87,R,K9
IOB_88,R,R9
IOB_89,R,L10
IOB_90,R,P9
IOB_91,R,N10
IOB_92,R,P10
IOB_94,R,R10
IOB_96,R,P11
IOB_98,R,R11
IOB_100,R,P13
IOB_102,R,R12
IOB_103_CBSEL0,R,K11
IOB_104_CBSEL1,R,P12
CDONE,L,M10
CRESET_B,L,N11
IOB_105_SDO,R,M11
IOB_106_SDI,R,L11
IOB_107_SCK,R,N12
IOB_108_SS,R,M12
VCC_SPI,L,N13
IOR_109,R,R15
IOR_110,R,P15
IOR_111,R,R14
IOR_112,R,P14
NC,B,N14
IOR_113,R,M15
IOR_114,R,L12
IOR_115,R,M13
IOR_116,R,K12
IOR_117,R,K13
IOR_118,R,J10
IOR_119,R,L13
IOR_120,R,J12
IOR_121,R,L14
IOR_123,R,M14
IOR_125,R,K15
IOR_128,R,J11
IOR_129,R,J13
IOR_131,R,K14
IOR_133,R,J15
IOR_135,R,J14
IOR_136,R,H11
IOR_137,R,H14
IOR_138,R,H13
IOR_140_GBIN3,R,H12
IOR_141_GBIN2,R,G13
IOR_143,R,G15
IOR_144,R,G11
IOR_145,R,G14
IOR_146,R,G10
IOR_147,R,F14
IOR_148,R,G12
IOR_149,R,F15
IOR_151,R,F13
IOR_152,R,F12
IOR_153,R,E14
IOR_154,R,F11
IOR_155,R,D14
IOR_159,R,D15
IOR_160,R,D13
IOR_161,R,E13
IOR_165,R,C14
IOR_167,R,B15
VPP_2V5,L,E12
VPP_FAST,L,D12
IOT_168,R,B14
IOT_169,R,A15
IOT_170,R,C12
IOT_171,R,C13
IOT_172,R,E11
IOT_174,R,D11
IOT_176,R,B13
IOT_177,R,E10
IOT_178,R,D9
IOT_179,R,E9
IOT_180,R,B12
IOT_181,R,D10
IOT_182,R,C11
IOT_184,R,A11
IOT_185,R,B11
IOT_187,R,B10
IOT_189,R,A10
IOT_190,R,F9
IOT_191,R,C10
IOT_192,R,B8
IOT_193,R,C8
IOT_194,R,A9
IOT_195,R,B9
VCCPLL1,L,E8
GNDPLL1,L,E7
IOT_196,R,A8
IOT_197_GBIN1,R,C9
IOT_198_GBIN0,R,D8
IOT_201,R,B7
IOT_203,R,C6
IOT_205,R,A7
IOT_206,R,C7
IOT_207,R,A6
IOT_208,R,D7
IOT_209,R,B6
IOT_211,R,D6
IOT_212,R,F7
IOT_214,R,B5
IOT_216,R,A5
GND,L,A12
IOT_218,R,B4
GND,L,A4
IOT_219,R,C5
IOT_220,R,B3
GND,L,E15
IOT_221,R,D5
GND,L,G7
IOT_222,R,A2
GND,L,G8
IOT_223,R,C4
GND,L,G9
GND,L,H7
GND,L,H8
IOT_224,R,B2
GND,L,H9
IOT_225,R,C3
GND,L,J7
IOT_226,R,A1
GND,L,J8
GND,L,J9
GND,L,K2
GND,L,K7
GND,L,L15
GND,L,R7
VCC,L,A14
VCC,L,F10
VCC,L,F6
VCC,L,H15
VCC,L,K10
VCC,L,K6
VCC,L,L2
VCC,L,R8
VCCIO_0,L,A13
VCCIO_0,L,A3
VCCIO_0,L,F8
VCCIO_1,L,C15
VCCIO_1,L,H10
VCCIO_1,L,N15
VCCIO_2,L,K8
VCCIO_2,L,P3
VCCIO_2,L,R13
VCCIO_3,L,E1
VCCIO_3,L,G6
VCCIO_3,L,J6
VCCIO_3,L,N1
