IOL_1A,R,E4
IOL_1B,R,B2
IOL_2A,R,F5
IOL_2B,R,B1
IOL_3A,R,C1
IOL_3B,R,C2
IOL_4A,R,F4
IOL_4B,R,D2
IOL_5A,R,G5
IOL_5B,R,D1
IOL_6A,R,G4
IOL_6B,R,E3
IOL_7A,R,H5
IOL_7B,R,E2
IOL_8A,R,G3
IOL_8B,R,F3
IOL_9A,R,H3
IOL_9B,R,F2
IOL_10A,R,H6
IOL_10B,R,F1
IOL_11A,R,H4
IOL_11B,R,G2
IOL_12A,R,J4
IOL_12B,R,H2
IOL_13A,R,J5
IOL_13B_GBIN7,R,G1
IOL_14A_GBIN6,R,J3
IOL_14B,R,H1
IOL_15A,R,J2
IOL_15B,R,J1
IOL_16A,R,K1
IOL_16B,R,K3
IOL_17A,R,L4
IOL_17B,R,L1
IOL_18A,R,K4
IOL_18B,R,M1
IOL_19A,R,L6
IOL_19B,R,L3
IOL_20A,R,K5
IOL_20B,R,M2
IOL_21A,R,L7
IOL_21B,R,N2
IOL_22A,R,M6
IOL_22B,R,M3
IOL_23A,R,L5
IOL_23B,R,N3
IOL_24A,R,P1
IOL_24B,R,M4
IOL_25A,R,P2
IOL_25B,R,M5
IOL_26A,R,R1
IOL_26B,R,N4
IOB_52,R,N6
IOB_53,R,T1
IOB_54,R,P4
IOB_55,R,R2
IOB_56,R,N5
IOB_57,R,T2
IOB_58,R,P5
IOB_59,R,R3
IOB_60,R,R5
IOB_61,R,T3
IOB_63,R,R4
IOB_64,R,M7
IOB_66,R,N7
IOB_67,R,P6
IOB_68,R,M8
IOB_69,R,T5
IOB_71,R,R6
IOB_72,R,P8
IOB_73,R,T6
IOB_74,R,L9
IOB_75,R,T7
IOB_76,R,T8
IOB_77,R,P7
IOB_78,R,N9
IOB_79,R,T9
IOB_80,R,M9
IOB_81_GBIN5,R,R9
IOB_82_GBIN4,R,K9
IOB_83,R,P9
GNDPLL0,L,N8
VCCPLL0,L,L8
IOB_84,R,R10
IOB_85,R,L10
IOB_86,R,P10
IOB_87,R,N10
IOB_88,R,T10
IOB_89,R,T11
IOB_91,R,T15
IOB_92,R,T14
IOB_93,R,M11
IOB_94,R,T13
IOB_98,R,N12
IOB_99,R,L11
IOB_100,R,T16
IOB_101,R,M12
IOB_102,R,R16
IOB_103_CBSEL0,R,K11
IOB_104_CBSEL1,R,P13
CDONE,L,M10
CRESET_B,L,N11
IOB_105_SDO,R,P12
IOB_106_SDI,R,P11
IOB_107_SCK,R,R11
IOB_108_SS,R,R12
VCC_SPI,L,N13
IOR_109,R,R14
IOR_110,R,R15
IOR_111,R,P14
IOR_112,R,P15
NC,B,N14
IOR_113,R,P16
IOR_114,R,M13
IOR_115,R,M14
IOR_116,R,L12
IOR_117,R,N16
IOR_118,R,L13
IOR_119,R,L14
IOR_120,R,K12
IOR_121,R,M16
IOR_122,R,J10
IOR_123,R,M15
IOR_126,R,J11
IOR_127,R,L16
IOR_128,R,K13
IOR_129,R,K14
IOR_130,R,J15
IOR_131,R,K15
IOR_133,R,K16
IOR_134,R,J14
IOR_136,R,J12
IOR_137,R,J13
IOR_138,R,J16
IOR_139,R,H13
IOR_140_GBIN3,R,H11
IOR_141_GBIN2,R,H16
IOR_142,R,H14
IOR_143,R,G16
IOR_144,R,H12
IOR_145,R,G15
IOR_146,R,G10
IOR_147,R,F16
IOR_148,R,G11
IOR_149,R,F15
IOR_150,R,G14
IOR_151,R,E16
IOR_152,R,G13
IOR_153,R,D16
IOR_154,R,G12
IOR_155,R,F14
IOR_156,R,F12
IOR_157,R,D15
IOR_158,R,F11
IOR_160,R,E14
IOR_161,R,C16
IOR_162,R,F13
IOR_165,R,B16
IOR_166,R,E13
IOR_167,R,D14
VPP_2V5,L,E12
VPP_FAST,L,D12
IOT_168,R,C14
IOT_169,R,B15
IOT_170,R,D13
IOT_171,R,B14
IOT_172,R,C12
IOT_173,R,E11
IOT_174,R,C13
IOT_176,R,A16
IOT_177,R,A15
IOT_178,R,B13
IOT_179,R,E10
IOT_180,R,C11
IOT_181,R,D11
IOT_182,R,B12
IOT_183,R,B10
IOT_184,R,B11
IOT_185,R,C10
IOT_186,R,A10
IOT_187,R,A11
IOT_190,R,D10
IOT_191,R,C9
IOT_192,R,E9
IOT_193,R,D9
IOT_194,R,A9
VCCPLL1,L,E8
GNDPLL1,L,E7
IOT_196,R,F9
IOT_197_GBIN1,R,C8
IOT_198_GBIN0,R,F7
IOT_199,R,B9
IOT_200,R,D8
IOT_203,R,B8
IOT_205,R,A7
IOT_206,R,C7
IOT_207,R,B7
IOT_208,R,B6
IOT_209,R,C6
IOT_210,R,D7
IOT_211,R,A6
IOT_212,R,D6
IOT_213,R,A5
IOT_214,R,B5
IOT_215,R,E6
IOT_216,R,B4
GND,L,A12
IOT_218,R,A2
GND,L,A4
IOT_219,R,D5
IOT_220,R,A1
GND,L,E15
IOT_221,R,C5
GND,L,G7
IOT_222,R,C4
GND,L,G8
IOT_223,R,B3
GND,L,G9
GND,L,H7
GND,L,H8
IOT_224,R,D4
GND,L,H9
IOT_225,R,E5
GND,L,J7
IOT_226,R,D3
GND,L,J8
IOT_227,R,C3
GND,L,J9
GND,L,K2
GND,L,K7
GND,L,L15
GND,L,R7
GND,L,T12
GND,L,T4
VCC,L,A14
VCC,L,F10
VCC,L,F6
VCC,L,K10
VCC,L,K6
VCC,L,L2
VCCIO_0,L,A13
VCCIO_0,L,A3
VCCIO_0,L,A8
VCCIO_0,L,F8
VCCIO_1,L,C15
VCCIO_1,L,H10
