List of MCUs selection: 1617 items. Database version: Wed Jan 22 05:50:05 PST 2020,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Part No,Reference,Marketing Status,Unit Price for 10kU (US$),Board,Package,Flash,RAM,IO,Freq.
STM32F205RG,STM32F205RGTx,Proposal,4.422,,LQFP64,1024 kBytes,128 kBytes,51,120 MHz
STM32F205RG,STM32F205RGYx,Proposal,4.422,,WLCSP66,1024 kBytes,128 kBytes,51,120 MHz
STM32F205VB,STM32F205VBTx,Active,3.543,,LQFP100,128 kBytes,64 kBytes,82,120 MHz
STM32F205VC,STM32F205VCTx,Active,3.774,,LQFP100,256 kBytes,96 kBytes,82,120 MHz
STM32F205VE,STM32F205VETx,Active,4.33,,LQFP100,512 kBytes,128 kBytes,82,120 MHz
STM32F205VF,STM32F205VFTx,Active,4.792,,LQFP100,768 kBytes,128 kBytes,82,120 MHz
STM32F205VG,STM32F205VGTx,Active,5.255,,LQFP100,1024 kBytes,128 kBytes,82,120 MHz
STM32F205ZC,STM32F205ZCTx,Active,4.492,,LQFP144,256 kBytes,96 kBytes,114,120 MHz
STM32F205ZE,STM32F205ZETx,Active,5.047,,LQFP144,512 kBytes,128 kBytes,114,120 MHz
STM32F205ZF,STM32F205ZFTx,Active,5.51,,LQFP144,768 kBytes,128 kBytes,114,120 MHz
STM32F205ZG,STM32F205ZGTx,Active,5.973,,LQFP144,1024 kBytes,128 kBytes,114,120 MHz
STM32F207IC,STM32F207ICHx,Active,5.093,,UFBGA176,256 kBytes,128 kBytes,140,120 MHz
STM32F207IC,STM32F207ICTx,Active,5.093,,LQFP176,256 kBytes,128 kBytes,140,120 MHz
STM32F207IE,STM32F207IEHx,Active,5.649,,UFBGA176,512 kBytes,128 kBytes,140,120 MHz
STM32F207IE,STM32F207IETx,Active,5.649,,LQFP176,512 kBytes,128 kBytes,140,120 MHz
STM32F207IF,STM32F207IFHx,Active,6.112,,UFBGA176,768 kBytes,128 kBytes,140,120 MHz
STM32F207IF,STM32F207IFTx,Active,6.112,,LQFP176,768 kBytes,128 kBytes,140,120 MHz
STM32F207IG,STM32F207IGHx,Active,6.574,STM3220G-EVAL,UFBGA176,1024 kBytes,128 kBytes,140,120 MHz
STM32F207IG,STM32F207IGTx,Active,6.574,,LQFP176,1024 kBytes,128 kBytes,140,120 MHz
STM32F207VC,STM32F207VCTx,Active,4.144,,LQFP100,256 kBytes,128 kBytes,82,120 MHz
STM32F207VE,STM32F207VETx,Active,4.7,,LQFP100,512 kBytes,128 kBytes,82,120 MHz
STM32F207VF,STM32F207VFTx,Active,5.163,,LQFP100,768 kBytes,128 kBytes,82,120 MHz
STM32F207VG,STM32F207VGTx,Active,5.626,,LQFP100,1024 kBytes,128 kBytes,82,120 MHz
STM32F207ZC,STM32F207ZCTx,Active,4.862,,LQFP144,256 kBytes,128 kBytes,114,120 MHz
STM32F207ZE,STM32F207ZETx,Active,5.417,,LQFP144,512 kBytes,128 kBytes,114,120 MHz
STM32F207ZF,STM32F207ZFTx,Active,5.88,,LQFP144,768 kBytes,128 kBytes,114,120 MHz
STM32F207ZG,STM32F207ZGTx,Active,6.343,NUCLEO-F207ZG,LQFP144,1024 kBytes,128 kBytes,114,120 MHz
STM32F215RE,STM32F215RETx,Active,4.306,,LQFP64,512 kBytes,128 kBytes,51,120 MHz
STM32F215RG,STM32F215RGTx,Active,5.232,,LQFP64,1024 kBytes,128 kBytes,51,120 MHz
STM32F215VE,STM32F215VETx,Active,4.677,,LQFP100,512 kBytes,128 kBytes,82,120 MHz
STM32F215VG,STM32F215VGTx,Active,5.602,,LQFP100,1024 kBytes,128 kBytes,82,120 MHz
STM32F215ZE,STM32F215ZETx,Active,5.394,,LQFP144,512 kBytes,128 kBytes,114,120 MHz
STM32F215ZG,STM32F215ZGTx,Active,6.32,,LQFP144,1024 kBytes,128 kBytes,114,120 MHz
STM32F217IE,STM32F217IEHx,Active,5.996,,UFBGA176,512 kBytes,128 kBytes,140,120 MHz
STM32F217IE,STM32F217IETx,Active,5.996,,LQFP176,512 kBytes,128 kBytes,140,120 MHz
STM32F217IG,STM32F217IGHx,Active,6.922,STM3221G-EVAL,UFBGA176,1024 kBytes,128 kBytes,140,120 MHz
STM32F217IG,STM32F217IGTx,Active,6.922,,LQFP176,1024 kBytes,128 kBytes,140,120 MHz
STM32F217VE,STM32F217VETx,Active,5.047,,LQFP100,512 kBytes,128 kBytes,82,120 MHz
STM32F217VG,STM32F217VGTx,Active,5.973,,LQFP100,1024 kBytes,128 kBytes,82,120 MHz
STM32F217ZE,STM32F217ZETx,Active,5.764,,LQFP144,512 kBytes,128 kBytes,114,120 MHz
STM32F217ZG,STM32F217ZGTx,Active,6.69,,LQFP144,1024 kBytes,128 kBytes,114,120 MHz
STM32F301C6,STM32F301C6Tx,Active,1.596,,LQFP48,32 kBytes,16 kBytes,37,72 MHz
STM32F301C8,STM32F301C8Tx,Active,1.666,,LQFP48,64 kBytes,16 kBytes,37,72 MHz
STM32F301C8,STM32F301C8Yx,Active,1.666,,WLCSP49,64 kBytes,16 kBytes,37,72 MHz
STM32F301K6,STM32F301K6Tx,Active,1.272,,LQFP32,32 kBytes,16 kBytes,25,72 MHz
STM32F301K6,STM32F301K6Ux,Active,1.272,,UFQFPN32,32 kBytes,16 kBytes,24,72 MHz
STM32F301K8,STM32F301K8Tx,Active,1.342,,LQFP32,64 kBytes,16 kBytes,25,72 MHz
STM32F301K8,STM32F301K8Ux,Active,1.342,,UFQFPN32,64 kBytes,16 kBytes,24,72 MHz
STM32F301R6,STM32F301R6Tx,Active,1.758,,LQFP64,32 kBytes,16 kBytes,51,72 MHz
STM32F301R8,STM32F301R8Tx,Active,1.828,,LQFP64,64 kBytes,16 kBytes,51,72 MHz
STM32F302C6,STM32F302C6Tx,Active,1.712,,LQFP48,32 kBytes,16 kBytes,37,72 MHz
STM32F302C8,STM32F302C8Tx,Active,1.782,,LQFP48,64 kBytes,16 kBytes,37,72 MHz
STM32F302C8,STM32F302C8Yx,Active,1.782,,WLCSP49,64 kBytes,16 kBytes,37,72 MHz
STM32F302CB,STM32F302CBTx,Active,1.99,,LQFP48,128 kBytes,32 kBytes,37,72 MHz
STM32F302CC,STM32F302CCTx,Active,2.288,,LQFP48,256 kBytes,40 kBytes,37,72 MHz
STM32F302K6,STM32F302K6Ux,Active,1.596,,UFQFPN32,32 kBytes,16 kBytes,24,72 MHz
STM32F302K8,STM32F302K8Ux,Active,1.666,,UFQFPN32,64 kBytes,16 kBytes,24,72 MHz
STM32F302R6,STM32F302R6Tx,Active,1.874,,LQFP64,32 kBytes,16 kBytes,51,72 MHz
STM32F302R8,STM32F302R8Tx,Active,1.944,NUCLEO-F302R8,LQFP64,64 kBytes,16 kBytes,51,72 MHz
STM32F302RB,STM32F302RBTx,Active,2.152,,LQFP64,128 kBytes,32 kBytes,52,72 MHz
STM32F302RC,STM32F302RCTx,Active,2.499,,LQFP64,256 kBytes,40 kBytes,52,72 MHz
STM32F302RD,STM32F302RDTx,Active,2.846,,LQFP64,384 kBytes,64 kBytes,51,72 MHz
STM32F302RE,STM32F302RETx,Active,3.24,,LQFP64,512 kBytes,64 kBytes,51,72 MHz
STM32F302VB,STM32F302VBTx,Active,2.522,,LQFP100,128 kBytes,32 kBytes,87,72 MHz
STM32F302VC,STM32F302VCTx,Active,2.869,,LQFP100,256 kBytes,40 kBytes,87,72 MHz
STM32F302VC,STM32F302VCYx,Active,2.869,,WLCSP100,256 kBytes,40 kBytes,78,72 MHz
STM32F302VD,STM32F302VDHx,Active,3.216,,UFBGA100,384 kBytes,64 kBytes,86,72 MHz
STM32F302VD,STM32F302VDTx,Active,3.216,,LQFP100,384 kBytes,64 kBytes,86,72 MHz
STM32F302VE,STM32F302VEHx,Active,3.61,,UFBGA100,512 kBytes,64 kBytes,86,72 MHz
STM32F302VE,STM32F302VETx,Active,3.61,,LQFP100,512 kBytes,64 kBytes,86,72 MHz
STM32F302ZD,STM32F302ZDTx,Active,3.795,,LQFP144,384 kBytes,64 kBytes,115,72 MHz
STM32F302ZE,STM32F302ZETx,Active,4.188,,LQFP144,512 kBytes,64 kBytes,115,72 MHz
STM32F303C6,STM32F303C6Tx,Active,1.935,,LQFP48,32 kBytes,16 kBytes,37,72 MHz
STM32F303C8,STM32F303C8Tx,Active,2.004,,LQFP48,64 kBytes,16 kBytes,37,72 MHz
STM32F303C8,STM32F303C8Yx,Active,2.004,,WLCSP49,64 kBytes,16 kBytes,38,72 MHz
STM32F303CB,STM32F303CBTx,Active,2.212,,LQFP48,128 kBytes,40 kBytes,37,72 MHz
STM32F303CC,STM32F303CCTx,Active,2.56,,LQFP48,256 kBytes,48 kBytes,37,72 MHz
STM32F303K6,STM32F303K6Tx,Active,1.819,,LQFP32,32 kBytes,16 kBytes,25,72 MHz
STM32F303K8,STM32F303K8Tx,Active,1.888,NUCLEO-F303K8,LQFP32,64 kBytes,16 kBytes,25,72 MHz
STM32F303R6,STM32F303R6Tx,Active,2.118,,LQFP64,32 kBytes,16 kBytes,51,72 MHz
STM32F303R8,STM32F303R8Tx,Active,2.187,,LQFP64,64 kBytes,16 kBytes,51,72 MHz
STM32F303RB,STM32F303RBTx,Active,2.396,,LQFP64,128 kBytes,40 kBytes,52,72 MHz
STM32F303RC,STM32F303RCTx,Active,2.743,,LQFP64,256 kBytes,48 kBytes,52,72 MHz
STM32F303RD,STM32F303RDTx,Active,3.09,,LQFP64,384 kBytes,80 kBytes,51,72 MHz
STM32F303RE,STM32F303RETx,Active,3.483,NUCLEO-F303RE,LQFP64,512 kBytes,80 kBytes,51,72 MHz
STM32F303VB,STM32F303VBTx,Active,2.823,,LQFP100,128 kBytes,40 kBytes,87,72 MHz
STM32F303VC,STM32F303VCTx,Active,3.17,"STM32F3DISCOVERY, STM32303C-EVAL",LQFP100,256 kBytes,48 kBytes,87,72 MHz
STM32F303VC,STM32F303VCYx,Active,3.17,,WLCSP100,256 kBytes,48 kBytes,78,72 MHz
STM32F303VD,STM32F303VDHx,Active,3.517,,UFBGA100,384 kBytes,80 kBytes,86,72 MHz
STM32F303VD,STM32F303VDTx,Active,3.517,,LQFP100,384 kBytes,80 kBytes,86,72 MHz
STM32F303VE,STM32F303VEHx,Active,3.911,,UFBGA100,512 kBytes,80 kBytes,86,72 MHz
STM32F303VE,STM32F303VETx,Active,3.911,STM32303E-EVAL,LQFP100,512 kBytes,80 kBytes,86,72 MHz
STM32F303VE,STM32F303VEYx,Active,3.911,,WLCSP100,512 kBytes,80 kBytes,78,72 MHz
STM32F303ZD,STM32F303ZDTx,Active,4.312,,LQFP144,384 kBytes,80 kBytes,115,72 MHz
STM32F303ZE,STM32F303ZETx,Active,4.706,NUCLEO-F303ZE,LQFP144,512 kBytes,80 kBytes,115,72 MHz
STM32F318C8,STM32F318C8Tx,Active,1.666,,LQFP48,64 kBytes,16 kBytes,36,72 MHz
STM32F318C8,STM32F318C8Yx,Active,1.666,,WLCSP49,64 kBytes,16 kBytes,36,72 MHz
STM32F318K8,STM32F318K8Ux,Active,1.342,,UFQFPN32,64 kBytes,16 kBytes,23,72 MHz
STM32F328C8,STM32F328C8Tx,Active,1.782,,LQFP48,64 kBytes,16 kBytes,36,72 MHz
STM32F334C4,STM32F334C4Tx,Active,1.955,,LQFP48,16 kBytes,16 kBytes,37,72 MHz
STM32F334C6,STM32F334C6Tx,Active,2.07,,LQFP48,32 kBytes,16 kBytes,37,72 MHz
STM32F334C8,STM32F334C8Tx,Active,2.14,32F3348DISCOVERY,LQFP48,64 kBytes,16 kBytes,37,72 MHz
STM32F334C8,STM32F334C8Yx,Active,2.14,,WLCSP49,64 kBytes,16 kBytes,38,72 MHz
STM32F334K4,STM32F334K4Tx,Active,1.849,,LQFP32,16 kBytes,16 kBytes,25,72 MHz
STM32F334K4,STM32F334K4Ux,NA,NA,,UFQFPN32,16 kBytes,16 kBytes,24,72 MHz
STM32F334K6,STM32F334K6Tx,Active,1.965,,LQFP32,32 kBytes,16 kBytes,25,72 MHz
STM32F334K6,STM32F334K6Ux,NA,NA,,UFQFPN32,32 kBytes,16 kBytes,24,72 MHz
STM32F334K8,STM32F334K8Tx,Active,1.965,,LQFP32,64 kBytes,16 kBytes,25,72 MHz
STM32F334K8,STM32F334K8Ux,Active,1.965,,UFQFPN32,64 kBytes,16 kBytes,24,72 MHz
STM32F334R6,STM32F334R6Tx,Active,2.245,,LQFP64,32 kBytes,16 kBytes,51,72 MHz
STM32F334R8,STM32F334R8Tx,Active,2.314,NUCLEO-F334R8,LQFP64,64 kBytes,16 kBytes,51,72 MHz
STM32F358CC,STM32F358CCTx,Active,2.288,,LQFP48,256 kBytes,48 kBytes,36,72 MHz
STM32F358RC,STM32F358RCTx,Active,2.499,,LQFP64,256 kBytes,48 kBytes,51,72 MHz
STM32F358VC,STM32F358VCTx,Active,2.869,,LQFP100,256 kBytes,48 kBytes,86,72 MHz
STM32F373C8,STM32F373C8Tx,Active,2.185,,LQFP48,64 kBytes,16 kBytes,37,72 MHz
STM32F373CB,STM32F373CBTx,Active,2.347,,LQFP48,128 kBytes,24 kBytes,37,72 MHz
STM32F373CC,STM32F373CCTx,Active,2.694,,LQFP48,256 kBytes,32 kBytes,37,72 MHz
STM32F373R8,STM32F373R8Tx,Active,2.34,,LQFP64,64 kBytes,16 kBytes,52,72 MHz
STM32F373RB,STM32F373RBTx,Active,2.502,,LQFP64,128 kBytes,24 kBytes,52,72 MHz
STM32F373RC,STM32F373RCTx,Active,2.85,,LQFP64,256 kBytes,32 kBytes,52,72 MHz
STM32F373V8,STM32F373V8Hx,Active,2.719,,UFBGA100,64 kBytes,16 kBytes,84,72 MHz
STM32F373V8,STM32F373V8Tx,Active,2.719,,LQFP100,64 kBytes,16 kBytes,84,72 MHz
STM32F373VB,STM32F373VBHx,Active,2.881,,UFBGA100,128 kBytes,24 kBytes,84,72 MHz
STM32F373VB,STM32F373VBTx,Active,2.881,,LQFP100,128 kBytes,24 kBytes,84,72 MHz
STM32F373VC,STM32F373VCHx,Active,3.228,,UFBGA100,256 kBytes,32 kBytes,84,72 MHz
STM32F373VC,STM32F373VCTx,Active,3.228,STM32373C-EVAL,LQFP100,256 kBytes,32 kBytes,84,72 MHz
STM32F378CC,STM32F378CCTx,Active,2.694,,LQFP48,256 kBytes,32 kBytes,36,72 MHz
STM32F378RC,STM32F378RCTx,Active,2.85,,LQFP64,256 kBytes,32 kBytes,51,72 MHz
STM32F378RC,STM32F378RCYx,Active,2.85,,WLCSP66,256 kBytes,32 kBytes,51,72 MHz
STM32F378VC,STM32F378VCHx,Active,3.228,,UFBGA100,256 kBytes,32 kBytes,83,72 MHz
STM32F378VC,STM32F378VCTx,Active,3.228,,LQFP100,256 kBytes,32 kBytes,83,72 MHz
STM32F398VE,STM32F398VETx,Active,NA,,LQFP100,512 kBytes,80 kBytes,85,72 MHz
STM32F401CB,STM32F401CBUx,Active,1.873,,UFQFPN48,128 kBytes,64 kBytes,36,84 MHz
STM32F401CC,STM32F401CCFx,Active,2.128,,WLCSP49,256 kBytes,64 kBytes,36,84 MHz
STM32F401CC,STM32F401CCUx,Active,2.128,,UFQFPN48,256 kBytes,64 kBytes,36,84 MHz
STM32F401CC,STM32F401CCYx,Active,2.128,,WLCSP49,256 kBytes,64 kBytes,36,84 MHz
STM32F401CD,STM32F401CDUx,Active,2.384,,UFQFPN48,384 kBytes,96 kBytes,36,84 MHz
STM32F401CD,STM32F401CDYx,Active,2.384,,WLCSP49,384 kBytes,96 kBytes,36,84 MHz
STM32F401CE,STM32F401CEUx,Active,2.639,,UFQFPN48,512 kBytes,96 kBytes,36,84 MHz
STM32F401CEY6L,STM32F401CEYx,NA,NA,,WLCSP49,512 kBytes,96 kBytes,36,84 MHz
STM32F401RB,STM32F401RBTx,Active,1.979,,LQFP64,128 kBytes,64 kBytes,50,84 MHz
STM32F401RC,STM32F401RCTx,Active,2.235,,LQFP64,256 kBytes,64 kBytes,50,84 MHz
STM32F401RD,STM32F401RDTx,Active,2.49,,LQFP64,384 kBytes,96 kBytes,50,84 MHz
STM32F401RE,STM32F401RETx,Active,2.745,NUCLEO-F401RE,LQFP64,512 kBytes,96 kBytes,50,84 MHz
STM32F401VB,STM32F401VBHx,Active,2.32,,UFBGA100,128 kBytes,64 kBytes,81,84 MHz
STM32F401VB,STM32F401VBTx,Active,2.32,,LQFP100,128 kBytes,64 kBytes,81,84 MHz
STM32F401VC,STM32F401VCHx,Active,2.575,,UFBGA100,256 kBytes,64 kBytes,81,84 MHz
STM32F401VC,STM32F401VCTx,Active,2.575,STM32F401C-DISCO,LQFP100,256 kBytes,64 kBytes,81,84 MHz
STM32F401VD,STM32F401VDHx,Active,2.831,,UFBGA100,384 kBytes,96 kBytes,81,84 MHz
STM32F401VD,STM32F401VDTx,Active,2.831,,LQFP100,384 kBytes,96 kBytes,81,84 MHz
STM32F401VE,STM32F401VEHx,Active,3.086,,UFBGA100,512 kBytes,96 kBytes,81,84 MHz
STM32F401VE,STM32F401VETx,Active,3.086,,LQFP100,512 kBytes,96 kBytes,81,84 MHz
STM32F405OE,STM32F405OEYx,Active,3.601,,WLCSP90,512 kBytes,192 kBytes,72,168 MHz
STM32F405OG,STM32F405OGYx,Active,4.453,,WLCSP90,1024 kBytes,192 kBytes,72,168 MHz
STM32F405RG,STM32F405RGTx,Active,4.942,,LQFP64,1024 kBytes,192 kBytes,51,168 MHz
STM32F405VG,STM32F405VGTx,Active,5.283,,LQFP100,1024 kBytes,192 kBytes,82,168 MHz
STM32F405ZG,STM32F405ZGTx,Active,5.709,,LQFP144,1024 kBytes,192 kBytes,114,168 MHz
STM32F407IE,STM32F407IEHx,Active,5.411,,UFBGA176,512 kBytes,192 kBytes,140,168 MHz
STM32F407IE,STM32F407IETx,Active,5.411,,LQFP176,512 kBytes,192 kBytes,140,168 MHz
STM32F407IG,STM32F407IGHx,Active,6.262,STM3240G-EVAL,UFBGA176,1024 kBytes,192 kBytes,140,168 MHz
STM32F407IG,STM32F407IGTx,Active,6.262,,LQFP176,1024 kBytes,192 kBytes,140,168 MHz
STM32F407VE,STM32F407VETx,Active,4.772,,LQFP100,512 kBytes,192 kBytes,82,168 MHz
STM32F407VG,STM32F407VGTx,Active,5.623,STM32F4DISCOVERY,LQFP100,1024 kBytes,192 kBytes,82,168 MHz
STM32F407ZE,STM32F407ZETx,Active,5.198,,LQFP144,512 kBytes,192 kBytes,114,168 MHz
STM32F407ZG,STM32F407ZGTx,Active,6.049,,LQFP144,1024 kBytes,192 kBytes,114,168 MHz
STM32F410C8,STM32F410C8Ux,Active,1.381,,UFQFPN48,64 kBytes,32 kBytes,36,100 MHz
STM32F410CB,STM32F410CBTx,Active,1.573,,LQFP48,128 kBytes,32 kBytes,35,100 MHz
STM32F410CB,STM32F410CBUx,Active,1.573,,UFQFPN48,128 kBytes,32 kBytes,36,100 MHz
STM32F410R8,STM32F410R8Tx,Active,1.488,,LQFP64,64 kBytes,32 kBytes,50,100 MHz
STM32F410RB,STM32F410RBIx,Active,1.616,,UFBGA64,128 kBytes,32 kBytes,50,100 MHz
STM32F410RB,STM32F410RBTx,Active,1.616,NUCLEO-F410RB,LQFP64,128 kBytes,32 kBytes,50,100 MHz
STM32F410T8,STM32F410T8Yx,Active,1.275,,WLCSP36,64 kBytes,32 kBytes,23,100 MHz
STM32F410TB,STM32F410TBYx,Active,1.467,,WLCSP36,128 kBytes,32 kBytes,23,100 MHz
STM32F411CC,STM32F411CCUx,Active,2.285,,UFQFPN48,256 kBytes,128 kBytes,36,100 MHz
STM32F411CC,STM32F411CCYx,Active,2.285,,WLCSP49,256 kBytes,128 kBytes,36,100 MHz
STM32F411CE,STM32F411CEUx,Active,2.795,,UFQFPN48,512 kBytes,128 kBytes,36,100 MHz
STM32F411CE,STM32F411CEYx,Active,2.795,,WLCSP49,512 kBytes,128 kBytes,36,100 MHz
STM32F411RC,STM32F411RCTx,Active,2.391,,LQFP64,256 kBytes,128 kBytes,50,100 MHz
STM32F411RE,STM32F411RETx,Active,2.902,NUCLEO-F411RE,LQFP64,512 kBytes,128 kBytes,50,100 MHz
STM32F411VC,STM32F411VCTx,Active,2.732,,LQFP100,256 kBytes,128 kBytes,81,100 MHz
STM32F411VE,STM32F411VEHx,Active,3.242,,UFBGA100,512 kBytes,128 kBytes,81,100 MHz
STM32F411VE,STM32F411VETx,Active,3.242,32F411EDISCOVERY,LQFP100,512 kBytes,128 kBytes,81,100 MHz
STM32F412CE,STM32F412CEUx,Active,3.159,,UFQFPN48,512 kBytes,256 kBytes,36,100 MHz
STM32F412CG,STM32F412CGUx,Active,4.01,,UFQFPN48,1024 kBytes,256 kBytes,36,100 MHz
STM32F412RE,STM32F412RETx,Active,3.159,,LQFP64,512 kBytes,256 kBytes,50,100 MHz
STM32F412RE,STM32F412REYx,Active,3.159,,WLCSP64,512 kBytes,256 kBytes,50,100 MHz
STM32F412RG,STM32F412RGTx,Active,4.01,,LQFP64,1024 kBytes,256 kBytes,50,100 MHz
STM32F412RG,STM32F412RGYx,Active,4.01,,WLCSP64,1024 kBytes,256 kBytes,50,100 MHz
STM32F412RG,STM32F412RGYxP,Active,4.01,,WLCSP64,1024 kBytes,256 kBytes,50,100 MHz
STM32F412VE,STM32F412VEHx,Active,3.606,,UFBGA100,512 kBytes,256 kBytes,81,100 MHz
STM32F412VE,STM32F412VETx,Active,3.606,,LQFP100,512 kBytes,256 kBytes,81,100 MHz
STM32F412VG,STM32F412VGHx,Active,4.457,,UFBGA100,1024 kBytes,256 kBytes,81,100 MHz
STM32F412VG,STM32F412VGTx,Active,4.457,,LQFP100,1024 kBytes,256 kBytes,81,100 MHz
STM32F412ZE,STM32F412ZEJx,Active,4.032,,UFBGA144,512 kBytes,256 kBytes,114,100 MHz
STM32F412ZE,STM32F412ZETx,Active,4.032,,LQFP144,512 kBytes,256 kBytes,114,100 MHz
STM32F412ZG,STM32F412ZGJx,Active,4.883,,UFBGA144,1024 kBytes,256 kBytes,114,100 MHz
STM32F412ZG,STM32F412ZGTx,Active,4.883,"32F412GDISCOVERY, NUCLEO-F412ZG",LQFP144,1024 kBytes,256 kBytes,114,100 MHz
STM32F413CG,STM32F413CGUx,Proposal,4.411,,UFQFPN48,1024 kBytes,320 kBytes,36,100 MHz
STM32F413CH,STM32F413CHUx,Active,4.943,,UFQFPN48,1536 kBytes,320 kBytes,36,100 MHz
STM32F413MG,STM32F413MGYx,Proposal,4.177,,WLCSP81,1024 kBytes,320 kBytes,60,100 MHz
STM32F413MH,STM32F413MHYx,Proposal,4.709,,WLCSP81,1536 kBytes,320 kBytes,60,100 MHz
STM32F413RG,STM32F413RGTx,Proposal,4.475,,LQFP64,1024 kBytes,320 kBytes,50,100 MHz
STM32F413RH,STM32F413RHTx,Active,5.007,,LQFP64,1536 kBytes,320 kBytes,50,100 MHz
STM32F413VG,STM32F413VGHx,Active,4.816,,UFBGA100,1024 kBytes,320 kBytes,81,100 MHz
STM32F413VG,STM32F413VGTx,Active,4.816,,LQFP100,1024 kBytes,320 kBytes,81,100 MHz
STM32F413VH,STM32F413VHHx,Proposal,5.348,,UFBGA100,1536 kBytes,320 kBytes,81,100 MHz
STM32F413VH,STM32F413VHTx,Proposal,5.348,,LQFP100,1536 kBytes,320 kBytes,81,100 MHz
STM32F413ZG,STM32F413ZGJx,Proposal,5.241,,UFBGA144,1024 kBytes,320 kBytes,114,100 MHz
STM32F413ZG,STM32F413ZGTx,Proposal,5.241,,LQFP144,1024 kBytes,320 kBytes,114,100 MHz
STM32F413ZH,STM32F413ZHJx,Active,5.774,,UFBGA144,1536 kBytes,320 kBytes,114,100 MHz
STM32F413ZH,STM32F413ZHTx,Active,5.774,"32F413HDISCOVERY, NUCLEO-F413ZH",LQFP144,1536 kBytes,320 kBytes,114,100 MHz
STM32F415OG,STM32F415OGYx,Active,4.772,,WLCSP90,1024 kBytes,192 kBytes,72,168 MHz
STM32F415RG,STM32F415RGTx,Active,5.262,,LQFP64,1024 kBytes,192 kBytes,51,168 MHz
STM32F415VG,STM32F415VGTx,Active,5.602,,LQFP100,1024 kBytes,192 kBytes,82,168 MHz
STM32F415ZG,STM32F415ZGTx,Active,6.028,,LQFP144,1024 kBytes,192 kBytes,114,168 MHz
STM32F417IE,STM32F417IEHx,Active,5.73,,UFBGA176,512 kBytes,192 kBytes,140,168 MHz
STM32F417IE,STM32F417IETx,Active,5.73,,LQFP176,512 kBytes,192 kBytes,140,168 MHz
STM32F417IG,STM32F417IGHx,Active,6.581,STM3241G-EVAL,UFBGA176,1024 kBytes,192 kBytes,140,168 MHz
STM32F417IG,STM32F417IGTx,Active,6.581,,LQFP176,1024 kBytes,192 kBytes,140,168 MHz
STM32F417VE,STM32F417VETx,Active,5.091,,LQFP100,512 kBytes,192 kBytes,82,168 MHz
STM32F417VG,STM32F417VGTx,Active,5.943,,LQFP100,1024 kBytes,192 kBytes,82,168 MHz
STM32F417ZE,STM32F417ZETx,Active,5.517,,LQFP144,512 kBytes,192 kBytes,114,168 MHz
STM32F417ZG,STM32F417ZGTx,Active,6.368,,LQFP144,1024 kBytes,192 kBytes,114,168 MHz
STM32F423CH,STM32F423CHUx,Proposal,5.263,,UFQFPN48,1536 kBytes,320 kBytes,36,100 MHz
STM32F423MH,STM32F423MHYx,Active,5.029,,WLCSP81,1536 kBytes,320 kBytes,60,100 MHz
STM32F423RH,STM32F423RHTx,Proposal,5.327,,LQFP64,1536 kBytes,320 kBytes,50,100 MHz
STM32F423VH,STM32F423VHHx,Proposal,5.667,,UFBGA100,1536 kBytes,320 kBytes,81,100 MHz
STM32F423VH,STM32F423VHTx,Proposal,5.667,,LQFP100,1536 kBytes,320 kBytes,81,100 MHz
STM32F423ZH,STM32F423ZHJx,Active,6.093,,UFBGA144,1536 kBytes,320 kBytes,114,100 MHz
STM32F423ZH,STM32F423ZHTx,Active,6.093,,LQFP144,1536 kBytes,320 kBytes,114,100 MHz
STM32F427AG,STM32F427AGHx,Active,6.168,,UFBGA169,1024 kBytes,256 kBytes,130,180 MHz
STM32F427AI,STM32F427AIHx,Active,7.019,,UFBGA169,2048 kBytes,256 kBytes,130,180 MHz
STM32F427IG,STM32F427IGHx,Active,6.487,,UFBGA176,1024 kBytes,256 kBytes,140,180 MHz
STM32F427IG,STM32F427IGTx,Active,6.487,,LQFP176,1024 kBytes,256 kBytes,140,180 MHz
STM32F427II,STM32F427IIHx,Active,7.338,,UFBGA176,2048 kBytes,256 kBytes,140,180 MHz
STM32F427II,STM32F427IITx,Active,7.338,,LQFP176,2048 kBytes,256 kBytes,140,180 MHz
STM32F427VG,STM32F427VGTx,Active,5.848,,LQFP100,1024 kBytes,256 kBytes,82,180 MHz
STM32F427VI,STM32F427VITx,Active,6.7,,LQFP100,2048 kBytes,256 kBytes,82,180 MHz
STM32F427ZG,STM32F427ZGTx,Active,6.274,,LQFP144,1024 kBytes,256 kBytes,114,180 MHz
STM32F427ZI,STM32F427ZITx,Active,7.125,,LQFP144,2048 kBytes,256 kBytes,114,180 MHz
STM32F429AG,STM32F429AGHx,Active,6.466,,UFBGA169,1024 kBytes,256 kBytes,130,180 MHz
STM32F429AI,STM32F429AIHx,Active,7.317,,UFBGA169,2048 kBytes,256 kBytes,130,180 MHz
STM32F429BE,STM32F429BETx,Active,6.359,,LQFP208,512 kBytes,256 kBytes,168,180 MHz
STM32F429BG,STM32F429BGTx,Active,7.211,,LQFP208,1024 kBytes,256 kBytes,168,180 MHz
STM32F429BI,STM32F429BITx,Active,8.062,,LQFP208,2048 kBytes,256 kBytes,168,180 MHz
STM32F429IE,STM32F429IEHx,Active,5.933,,UFBGA176,512 kBytes,256 kBytes,140,180 MHz
