List of MCUs selection: 1617 items. Database version: Wed Jan 22 05:50:05 PST 2020,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Part No,Reference,Marketing Status,Unit Price for 10kU (US$),Board,Package,Flash,RAM,IO,Freq.
STM32F051T8,STM32F051T8Yx,Active,1.142,,WLCSP36,64 kBytes,8 kBytes,29,48 MHz
STM32F058C8,STM32F058C8Ux,Active,1.142,,UFQFPN48,64 kBytes,8 kBytes,38,48 MHz
STM32F058R8,STM32F058R8Hx,Active,1.194,,UFBGA64,64 kBytes,8 kBytes,54,48 MHz
STM32F058R8,STM32F058R8Tx,Active,1.194,,LQFP64,64 kBytes,8 kBytes,54,48 MHz
STM32F058T8,STM32F058T8Yx,Active,1.142,,WLCSP36,64 kBytes,8 kBytes,28,48 MHz
STM32F070C6,STM32F070C6Tx,Active,0.738,,LQFP48,32 kBytes,6 kBytes,37,48 MHz
STM32F070CB,STM32F070CBTx,Active,0.958,,LQFP48,128 kBytes,16 kBytes,37,48 MHz
STM32F070F6,STM32F070F6Px,Active,0.534,,TSSOP20,32 kBytes,6 kBytes,15,48 MHz
STM32F070RB,STM32F070RBTx,Active,1.052,NUCLEO-F070RB,LQFP64,128 kBytes,16 kBytes,51,48 MHz
STM32F071C8,STM32F071C8Tx,Active,1.192,,LQFP48,64 kBytes,16 kBytes,37,48 MHz
STM32F071C8,STM32F071C8Ux,Active,1.192,,UFQFPN48,64 kBytes,16 kBytes,37,48 MHz
STM32F071CB,STM32F071CBTx,Active,1.364,,LQFP48,128 kBytes,16 kBytes,37,48 MHz
STM32F071CB,STM32F071CBUx,Active,1.364,,UFQFPN48,128 kBytes,16 kBytes,37,48 MHz
STM32F071CB,STM32F071CBYx,Active,1.364,,WLCSP49,128 kBytes,16 kBytes,37,48 MHz
STM32F071RB,STM32F071RBTx,Active,1.528,,LQFP64,128 kBytes,16 kBytes,51,48 MHz
STM32F071V8,STM32F071V8Hx,Active,1.387,,UFBGA100,64 kBytes,16 kBytes,87,48 MHz
STM32F071V8,STM32F071V8Tx,Active,1.387,,LQFP100,64 kBytes,16 kBytes,87,48 MHz
STM32F071VB,STM32F071VBHx,Active,1.559,,UFBGA100,128 kBytes,16 kBytes,87,48 MHz
STM32F071VB,STM32F071VBTx,Active,1.559,,LQFP100,128 kBytes,16 kBytes,87,48 MHz
STM32F072C8,STM32F072C8Tx,Active,1.343,,LQFP48,64 kBytes,16 kBytes,37,48 MHz
STM32F072C8,STM32F072C8Ux,Active,1.343,,UFQFPN48,64 kBytes,16 kBytes,37,48 MHz
STM32F072CB,STM32F072CBTx,Active,1.515,,LQFP48,128 kBytes,16 kBytes,37,48 MHz
STM32F072CB,STM32F072CBUx,Active,1.515,,UFQFPN48,128 kBytes,16 kBytes,37,48 MHz
STM32F072CB,STM32F072CBYx,Active,1.515,,WLCSP49,128 kBytes,16 kBytes,37,48 MHz
STM32F072R8,STM32F072R8Tx,Active,1.507,,LQFP64,64 kBytes,16 kBytes,51,48 MHz
STM32F072RB,STM32F072RBHx,Active,1.55,,UFBGA64,128 kBytes,16 kBytes,51,48 MHz
STM32F072RB,STM32F072RBTx,Active,1.55,"32F072BDISCOVERY, NUCLEO-F072RB",LQFP64,128 kBytes,16 kBytes,51,48 MHz
STM32F072V8,STM32F072V8Hx,Active,1.538,,UFBGA100,64 kBytes,16 kBytes,87,48 MHz
STM32F072V8,STM32F072V8Tx,Active,1.538,,LQFP100,64 kBytes,16 kBytes,87,48 MHz
STM32F072VB,STM32F072VBHx,Active,1.71,,UFBGA100,128 kBytes,16 kBytes,87,48 MHz
STM32F072VB,STM32F072VBTx,Active,1.71,STM32072B-EVAL,LQFP100,128 kBytes,16 kBytes,87,48 MHz
STM32F078CB,STM32F078CBTx,Active,1.515,,LQFP48,128 kBytes,16 kBytes,36,48 MHz
STM32F078CB,STM32F078CBUx,Active,1.515,,UFQFPN48,128 kBytes,16 kBytes,36,48 MHz
STM32F078CB,STM32F078CBYx,Active,1.515,,WLCSP49,128 kBytes,16 kBytes,36,48 MHz
STM32F078RB,STM32F078RBHx,Active,1.55,,UFBGA64,128 kBytes,16 kBytes,50,48 MHz
STM32F078RB,STM32F078RBTx,Active,1.55,,LQFP64,128 kBytes,16 kBytes,50,48 MHz
STM32F078VB,STM32F078VBHx,Active,1.71,,UFBGA100,128 kBytes,16 kBytes,86,48 MHz
STM32F078VB,STM32F078VBTx,Active,1.71,,LQFP100,128 kBytes,16 kBytes,86,48 MHz
STM32F091CB,STM32F091CBTx,Active,1.481,,LQFP48,128 kBytes,32 kBytes,38,48 MHz
STM32F091CB,STM32F091CBUx,Active,1.481,,UFQFPN48,128 kBytes,32 kBytes,38,48 MHz
STM32F091CC,STM32F091CCTx,Active,1.805,,LQFP48,256 kBytes,32 kBytes,38,48 MHz
